Company Name,Ownership Type,Holding Company Name,State,City,Website,Planning Area Name,Balancing Authority Area Name,Membership Name,Overlap,Area (sq mi),Location Code,Source,Population 2000,Number Of Households,Median Household Income,Household Aggregate Income,Per Capita Income,Layer_ID,Rec_ID,Bundled Residential Customers,Bundled Industrial Customers,Bundled Commercial Customers,Bundled Total Customers,Total Customers Ranges,Color_Code,Distribution Line Miles,Population 2010
Boylston MA (Town of),Muni,Boylston MA (Town of),MA,Boylston,,Massachusetts Municipal Wholesale Electric Co,New England ISO (Balancing Authority),Massachusetts Municipal Wholesale Electric Co,F,19.72790158,3,Company Maps; ABB Research,3988.785759,1784.720454,-99.9,-99.9,-99.9,81,2195,2030,25,230,2285,"0 to 3,000",1,-99.9,4372.042378
Bozrah Light & Power Co,Muni,Groton Electric Light Dept,CT,Groton,www.grotonutilities.com/electric_bozrah.asp,New England ISO,New England ISO (Balancing Authority),Connecticut Municipal Electric Energy Coop,F,137.516926,3,ABB Research,28308.92,11917.28032,-99.9,-99.9,-99.9,81,2855,2392,15,356,2763,"0 to 3,000",4,-99.9,30083.97377
Bradner OH (Village of),Muni,Bradner OH (Village of),OH,Bradner,,American Municipal Power OH,PJM Interconnection,American Municipal Power Inc,F,0.524521102,3,ABB Research,1141,25.67454725,-99.9,-99.9,-99.9,81,2502,493,2,33,528,0 to 700,1,-99.9,61.04740576
Bradshaw NE (Village of),Muni,Bradshaw NE (Village of),NE,Bradshaw,,Nebraska Public Power District,Southwest Power Pool (Balancing Authority),Not Applicable,F,0.32197299,4,Previously Mapped Features; ABB Research,345,1.211647945,-99.9,-99.9,-99.9,81,2052,189,4,37,230,0 to 700,1,-99.9,2.578318351
Brady TX (City of),Muni,Brady TX (City of),TX,Brady,,ERCOT,ERCOT ISO (Balancing Authority),Not Applicable,F,1.602085573,4,Previously Mapped Features; ABB Research,5879,349.7678561,-99.9,-99.9,-99.9,81,444,2403,1,641,3045,"3,000 to 100,000",1,-99.9,754.9279116
Brainard NE (Village of),Muni,Brainard NE (Village of),NE,Brainard,,Nebraska Public Power District,Southwest Power Pool (Balancing Authority),Not Applicable,F,0.282191087,4,Previously Mapped Features; ABB Research,292,1.061371484,-99.9,-99.9,-99.9,81,2053,229,0,3,232,0 to 700,1,-99.9,2.185242235
Brainerd Public Utilities,Muni,Brainerd Public Utilities,MN,Brainerd,www.bpu.org,Midcontinent ISO,Midcontinent ISO (Balancing Authority),Not Applicable,F,3.028018839,4,Previously Mapped Features; ABB Research,1117.090225,893.1313057,-99.9,-99.9,-99.9,81,445,6732,29,1335,8096,"3,000 to 100,000",1,-99.9,1955.644776
Braintree Electric Light Dept,Muni,Braintree Electric Light Dept,MA,Braintree,www.beld.com,New England ISO,New England ISO (Balancing Authority),Not Applicable,F,14.34258495,3,ABB Research,33141.90921,14048.03794,-99.9,-99.9,-99.9,81,2187,13934,6,2774,16714,"3,000 to 100,000",5,-99.9,35114.22132
Braman OK (Town of),Muni,Braman OK (Town of),OK,Braman,,Western Farmers Electric Coop,Southwest Power Pool (Balancing Authority),Not Applicable,F,0.157533696,4,Previously Mapped Features; ABB Research,229,1.454913761,-99.9,-99.9,-99.9,81,1999,142,3,26,171,0 to 700,1,-99.9,2.907302726
Brant County Power Inc,Muni,Brant (County Of),,,http://www.brantcountypower.com,Not Applicable,Not Applicable,Not Applicable,F,396.2486908,4,ABB Research,-99,-99,-99.9,-99.9,-99.9,81,3004,-99,-99,-99,-99,Not Reported,3,-99.9,-99
